Cpu name,Cores,Frec(MHZ),Threads,Percentile,AVG
AMD Ryzen 7 1800X Eight-Core Processor,8,2200,16,50th,258903583
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,8,3500,16,50th,258763763
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,4,1612,8,49th,254573129
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,6,4556,12,49th,250416592
Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,6,4946,12,49th,249503500
Intel(R) Core(TM) i5-8400 CPU @ 2.80GHz,6,3953,6,47th,246553900
AMD Ryzen 7 2700 Eight-Core Processor,8,3702,16,47th,243082778
AMD Ryzen 7 1700 Eight-Core Processor,8,1550,16,46th,238986489
Intel(R) Core(TM) i7-7740K CPU @ 4.30GHz,4,4300,8,45th,238007622
AMD Ryzen 3 1300X Quad-Core Processor,4,2437,4,45th,237986767
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,8,1106,16,44th,237654867
Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz,6,4800,12,41st,236390389
Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,4,4499,8,41st,235333311
AMD Ryzen 3 3300X 4-Core Processor,4,2022,8,39th,233163734
AMD Ryzen 5 5600X 6-Core Processor,6,3579,12,38th,230871213
AMD Ryzen 9 3900XT 12-Core Processor,12,2200,24,37th,225793559
AMD Ryzen 7 5800X 8-Core Processor,8,2236,16,36th,225356167
AMD Ryzen 9 3900X 12-Core Processor,12,4054,24,36th,224896889
Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,6,1113,12,36th,223806567
AMD Ryzen 5 3600XT 6-Core Processor,6,2203,12,34th,220614875
Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz,8,3699,16,34th,220091603
Intel(R) Xeon(R) E-2288G CPU @ 3.70GHz,8,4982,16,33rd,219070386
AMD Ryzen 3 2200G with Radeon Vega Graphics,4,1478,4,31st,213932133
Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,3700,20,30th,212042888
AMD Ryzen 9 5950X 16-Core Processor,16,2200,32,29th,210988116
AMD Ryzen 5 3400G with Radeon Vega Graphics,4,2073,8,26th,207741622
Intel(R) Core(TM) i9-10885H CPU @ 2.40GHz,8,4560,16,26th,207595755
Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,6,1043,6,24th,204743878
AMD Ryzen 5 2400G with Radeon Vega Graphics,4,1581,8,23rd,203569750
AMD Ryzen 7 3700X 8-Core Processor,8,2123,16,23rd,202314300
AMD Ryzen 9 3950X 16-Core Processor,16,2106,32,23rd,201328242
Intel(R) Xeon(R) CPU E3-1275 v6 @ 3.80GHz,4,3767,8,22nd,197562133
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,4,3629,4,22nd,197561633
AMD Ryzen 7 3800XT 8-Core Processor,8,2794,16,20th,190316985
AMD Ryzen 5 4500U with Radeon Graphics,6,1400,6,20th,187221278
Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,4,3500,8,19th,183000056
Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz,2,3900,4,18th,181296100
Intel(R) Xeon(R) CPU E3-1260L v5 @ 2.90GHz,4,2901,8,18th,180621467
Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,4,3201,4,17th,178855800
Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz,4,3795,8,16th,178081322
Intel(R) Xeon(R) CPU E3-1280 v5 @ 3.70GHz,4,799,8,16th,173357211
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,4,2909,8,15th,166479222
Intel(R) Xeon(R) CPU E3-1235L v5 @ 2.00GHz,4,2204,4,14th,162782978
Intel(R) Xeon(R) CPU E3-1240 v5 @ 3.50GHz,4,3500,8,14th,160379011
Intel(R) Core(TM) i7-5775C CPU @ 3.30GHz,4,3610,8,14th,160221900
Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,4,2000,8,13th,155193500
Intel(R) Xeon(R) CPU E3-1270 v5 @ 3.60GHz,4,3298,8,12th,151527800
Intel(R) Xeon(R) CPU E3-1231 v3 @ 3.40GHz,4,1064,8,11th,146144883
Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,4,4401,4,10th,143393233
Intel(R) Core(TM) i5-4670 CPU @ 3.40GHz,4,2225,4,8th,128697217
Intel(R) Core(TM) i7-4960X CPU @ 3.60GHz,6,3999,12,7th,126149344
Intel(R) Xeon(R) E-2278GEL CPU @ 2.00GHz,8,1863,16,7th,122362527
Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,2,2624,4,6th,121560567
AMD FX-8370 Eight-Core Processor,4,1400,8,6th,118692142
Intel(R) Core(TM) i5-7600K CPU @ 3.80GHz,4,3801,4,4th,106164178
AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,2,1694,4,4th,104880309
